"player","team"
"Martin, Cartier",ATL
"Millsap, Paul",ATL
"Schroder, Dennis",ATL
"Scott, Mike",ATL
"Teague, Jeff",ATL
"Buycks, Dwight",TOR
"DeRozan, DeMar",TOR
"Fields, Landry",TOR
"Hansbrough, Tyler",TOR
"Johnson, Amir",TOR
"Lowry, Kyle",TOR
"Ross, Terrence",TOR
"Valanciunas, Jonas",TOR
"Bass, Brandon",BOS
"Bradley, Avery",BOS
"Faverani, Vitor",BOS
"Green, Jeff",BOS
"Olynyk, Kelly",BOS
"Sullinger, Jared",BOS
"Wallace, Gerald",BOS
"Antetokounmpo, Giannis",MIL
"Henson, John",MIL
"Ilyasova, Ersan",MIL
"Mayo, O.J.",MIL
"Middleton, Khris",MIL
"Pachulia, Zaza",MIL
"Sanders, Larry",MIL
"Wolters, Nate",MIL
"Blair, DeJuan",DAL
"Calderon, Jose",DAL
"Carter, Vince",DAL
"Crowder, Jae",DAL
"Dalembert, Samuel",DAL
"Ellington, Wayne",DAL
"Ellis, Monta",DAL
"Ledo, Ricky",DAL
"Marion, Shawn",DAL
"Mekel, Gal",DAL
"Nowitzki, Dirk",DAL
"Parsons, Chandler",HOU
"Billups, Chauncey",DET
"Bynum, Will",DET
"Caldwell-Pope, Kentavious",DET
"Drummond, Andre",DET
"Monroe, Greg",DET
"Singler, Kyle",DET
"Smith, Josh",DET
"Stuckey, Rodney",DET
"Allen, Tony",MEM
"Conley, Mike",MEM
"Davis, Ed",MEM
"Gasol, Marc",MEM
"Koufos, Kosta",MEM
"Miller, Mike",MEM
"Pondexter, Quincy",MEM
"Prince, Tayshaun",MEM
"Randolph, Zach",MEM
"Barea, Jose Juan",MIN
"Brewer, Corey",MIN
"Cunningham, Dante",MIN
"Dieng, Gorgui",MIN
"Hummel, Robbie",MIN
"Love, Kevin",MIN
"Martin, Kevin",MIN
"Muhammad, Shabazz",MIN
"Pekovic, Nikola",MIN
"Rubio, Ricky",MIN
"Shved, Alexey",MIN
"Adams, Steven",OKC
"Collison, Nick",OKC
"Durant, Kevin",OKC
"Fisher, Derek",OKC
"Gomes, Ryan",OKC
"Ibaka, Serge",OKC
"Jackson, Reggie",OKC
"Jones, Perry",OKC
"Lamb, Jeremy",OKC
"Perkins, Kendrick",OKC
"Roberson, Andre",OKC
"Sefolosha, Thabo",OKC
"Arthur, Darrell",DEN
"Faried, Kenneth",DEN
"Fournier, Evan",DEN
"Foye, Randy",DEN
"Hickson, JJ",DEN
"Lawson, Ty",DEN
"McGee, JaVale",DEN
"Mozgov, Timofey",DEN
"Randolph, Anthony",DEN
"Robinson, Nate",DEN
"Aldridge, LaMarcus",POR
"Barton, Will",POR
"Batum, Nicolas",POR
"Crabbe, Allen",POR
"Freeland, Joel",POR
"Lillard, Damian",POR
"Lopez, Robin",POR
"Matthews, Wesley",POR
"Robinson, Thomas",POR
"Williams, Mo",POR
"Wright, Dorell",POR
"Barbosa, Leandro",PHX
"Bledsoe, Eric",PHX
"Christmas, Dionte",PHX
"Dragic, Goran",PHX
"Frye, Channing",PHX
"Goodwin, Archie",PHX
"Green, Gerald",PHX
"Len, Alex",PHX
"Morris, Markieff",PHX
"Plumlee, Miles",PHX
"Randolph, Shavlik",PHX
